Company,Sector,Total_Days,Date_Start,Date_End,Mean_Close,Std_Close,Min_Close,Max_Close,Mean_Volume
Apple,Technology,1735,2019-01-02 05:00:00+00:00,2025-11-24 05:00:00+00:00,148.82747906394627,59.29299152383801,35.54750061035156,275.9200134277344,88772708.32853025
Amazon,Consumer,1735,2019-01-02 05:00:00+00:00,2025-11-24 05:00:00+00:00,147.61618780084572,43.83351506541908,75.01399993896484,313.3614635462907,66632216.48414986
JP Morgan,Finance,1735,2019-01-02 05:00:00+00:00,2025-11-24 05:00:00+00:00,159.79062341051142,56.86413841175126,79.02999877929688,320.4100036621094,12317153.515850144
Johnson&Johnson,Healthcare,1735,2019-01-02 05:00:00+00:00,2025-11-24 05:00:00+00:00,157.17046934291275,14.626175398401923,111.13999938964844,240.95886544641115,8057865.734870317
Total Energies,Energy,1735,2019-01-02 05:00:00+00:00,2025-11-24 05:00:00+00:00,54.896900290871436,10.505847070641003,24.76000022888184,150.24617357737392,1945357.925072046
