Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2019-01-02 05:00:00+00:00,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,37.538818359375,148158800.0,2019,1,2
2019-01-03 05:00:00+00:00,35.994998931884766,36.43000030517578,35.5,35.54750061035156,33.799678802490234,365248800.0,2019,1,3
2019-01-04 05:00:00+00:00,36.13249969482422,37.13750076293945,35.95000076293945,37.06499862670898,35.24256134033203,234428400.0,2019,1,4
2019-01-07 05:00:00+00:00,37.17499923706055,37.20750045776367,36.47499847412109,37.37624931335449,35.16412353515625,219111200.0,2019,1,7
2019-01-08 05:00:00+00:00,,37.95500183105469,37.130001068115234,37.6875,35.83444595336914,164101200.0,2019,1,8
2019-01-09 05:00:00+00:00,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.442989349365234,180396400.0,2019,1,9
2019-01-10 05:00:00+00:00,38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.5594596862793,76039450.0,2019,1,10
2019-01-11 05:00:00+00:00,38.220001220703125,38.42499923706055,37.87749862670898,38.0724983215332,36.20051956176758,108092800.0,2019,1,11
2019-01-14 05:00:00+00:00,37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.65616989135742,129756800.0,2019,1,14
2019-01-15 05:00:00+00:00,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.24330711364746,114843600.0,2019,1,15
2019-01-16 05:00:00+00:00,38.27000045776367,38.970001220703125,38.25,38.73500061035156,36.8304443359375,122278800.0,2019,1,16
2019-01-17 05:00:00+00:00,38.54999923706055,39.415000915527344,38.31499862670898,38.96500015258789,37.04913711547852,119284800.0,2019,1,17
2019-01-18 05:00:00+00:00,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.27734756469727,135004000.0,2019,1,18
2019-01-22 05:00:00+00:00,39.102500915527344,39.182498931884766,38.15499877929688,38.32500076293945,36.440616607666016,121576000.0,2019,1,22
2019-01-23 05:00:00+00:00,38.53749847412109,38.78499984741211,37.92499923706055,38.47999954223633,36.587989807128906,92522400.0,2019,1,23
2019-01-24 05:00:00+00:00,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.2979850769043,101766000.0,2019,1,24
2019-01-25 05:00:00+00:00,38.869998931884766,39.532501220703125,38.58000183105469,39.43999862670898,37.50077819824219,134142000.0,2019,1,25
2019-01-28 05:00:00+00:00,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.15374755859375,104768400.0,2019,1,28
2019-01-29 05:00:00+00:00,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,36.76864242553711,166348800.0,2019,1,29
2019-01-30 05:00:00+00:00,40.8125,41.53749847412109,40.057498931884766,41.3125,39.28121566772461,244439200.0,2019,1,30
2019-01-31 05:00:00+00:00,41.52750015258789,42.25,41.13999938964844,41.61000061035156,39.56410217285156,162958400.0,2019,1,31
2019-02-01 05:00:00+00:00,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,39.58311080932617,130672400.0,2019,2,1
2019-02-04 05:00:00+00:00,,42.915000915527344,41.81999969482422,42.58749961853027,40.70745849609375,125982000.0,2019,2,4
